date,RHB Islamic Global Developed Mkts MYR,Equity - Global
2015-06-30,9839.983998399839,9927.999921284818
2015-07-31,9876.987698769877,10005.479538540285
2015-08-31,10150.01500150015,10025.010725165188
2015-09-30,10161.016101610161,9981.53023799045
2015-10-31,10483.048304830483,10467.453070354404
2015-11-30,10565.056505650566,10273.74215791572
2015-12-31,10340.03400340034,10193.733341052943
2016-01-31,9281.928192819281,9315.966331426529
2016-02-29,9267.926792679267,9414.51629723362
2016-03-31,9299.9299929993,9418.928787505458
2016-04-30,9287.928792879287,9508.465232278237
2016-05-31,9762.976297629762,9923.732728159172
2016-06-30,9469.94699469947,9640.965936201439
2016-07-31,9897.989798979897,10063.087312240707
2016-08-31,9860.986098609861,10095.834617756998
2016-09-30,10046.004600460046,10273.316985798432
2016-10-31,9927.992799279928,10177.899998723275
2016-11-30,10515.051505150514,10708.536189089491
2016-12-31,10825.082508250825,10888.440269603534
2017-01-31,10961.096109610962,10993.605818641108
2017-02-28,11265.126512651266,11237.268313199407
2017-03-31,11376.137613761375,11310.921874082878
2017-04-30,11310.13101310131,11283.817011168032
2017-05-31,11214.121412141214,11332.937086142156
2017-06-30,11244.124412441246,11403.090127876725
2017-07-31,11409.84098409841,11607.143179322178
2017-08-31,11387.938793879386,11524.595136510981
2017-09-30,11611.361136113612,11646.17556563905
2017-10-31,11938.893889388939,11852.62687183276
2017-11-30,11764.676467646765,11678.385387901812
2017-12-31,11715.471547154715,11746.074500627159
2018-01-31,11885.188518851883,11912.316794649021
2018-02-28,11604.760476047604,11545.245321895069
2018-03-31,11337.533753375337,11177.638979719793
2018-04-30,11304.630463046304,11425.97122519115
2018-05-31,11747.17471747175,11546.996362319278
2018-06-30,11652.965296529654,11562.297903372417
2018-07-31,11820.082008200821,11867.454392956573
2018-08-31,12190.41904190419,12077.888889353144
2018-09-30,12297.729772977296,12119.00545384409
2018-10-31,11411.04110411041,11326.068296549834
2018-11-30,11320.63206320632,11423.233015701971
2018-12-31,10519.551955195519,10583.502882240467
2019-01-31,11023.802380238023,11160.978776204762
2019-02-28,11482.248224822482,11399.6103536228
2019-03-31,11655.965596559656,11513.954287746295
2019-04-30,11921.392139213922,11927.358799660911
2019-05-31,11386.938693869386,11437.922053600967
2019-06-30,11961.196119611961,11893.7428346665
2019-07-31,12113.711371137113,11971.19342963585
2019-08-31,12301.030103010302,11835.21679086053
2019-09-30,12292.029202920292,11891.126797659399
2019-10-31,12463.946394639464,12195.92666183995
2019-11-30,12744.874487448746,12430.916867859007
2019-12-31,12960.496049604959,12615.7936866426
2020-01-31,13075.907590759078,12543.340191687805
2020-02-29,12521.652165216521,11979.88369728872
2020-03-31,11628.762876287628,10786.80102732606
2020-04-30,12661.566156615663,11802.791958259635
2020-05-31,13477.447744774478,12411.8818757617
2020-06-30,13663.566356635663,12614.929950930617
2020-07-31,14103.610361036102,13219.857011415588
2020-08-31,15157.115711571156,13703.411415573466
2020-09-30,14685.268526852686,13307.764580572035
2020-10-31,14326.232623262325,12981.183258134197
2020-11-30,15721.572157215722,14002.04836222648
2020-12-31,16056.805680568059,14496.716120191473
2021-01-31,15767.976797679768,14487.317402710347
2021-02-28,16242.324232423241,14642.503661518089
2021-03-31,16683.668366836682,14938.863446912532
2021-04-30,17260.12601260126,15352.266965785788
2021-05-31,17346.234623462347,15442.793970852112
2021-06-30,18121.41214121412,15782.730513946606
2021-07-31,19054.705470547055,16090.332165286105
2021-08-31,19365.236523652366,16281.421650360251
2021-09-30,18247.82478247825,15662.993960796544
2021-10-31,19315.931593159316,16245.950733216288
2021-11-30,19370.63706370637,15968.016580884372
2021-12-31,19585.358535853586,16168.380478297639
2022-01-31,18154.815481548154,14954.514665149421
2022-02-28,17516.051605160515,14623.231112285719
2022-03-31,17971.49714971497,14875.421018015762
2022-04-30,16953.995399539956,13961.301469277585
2022-05-31,16815.781578157817,13828.370030210177
2022-06-30,15480.94809480948,12742.20857418167
2022-07-31,17088.908890889088,13664.001918345943
2022-08-31,16238.023802380238,13239.635040956447
2022-09-30,14977.897789778977,12235.47053429352
2022-10-31,16059.605960596058,12927.754652193611
2022-11-30,16048.304830483048,13168.704541460575
2022-12-31,15191.719171917193,12693.376912492544
2023-01-31,15651.865186518651,13222.625288416795
2023-02-28,15827.382738273827,13283.535926129221
2023-03-31,16562.25622562256,13516.699371936502
2023-04-30,16996.899689968996,13631.014851664613
2023-05-31,18047.404740474045,13912.977477345952
2023-06-30,19113.511351135112,14593.832986107773
2023-07-31,19020.102010201022,16405.202411270126
2023-08-31,19140.414041404143,16205.788139972468
2023-09-30,18390.03900390039,15625.306734955688
2023-10-31,18241.32413241324,15239.957525536629
2023-11-30,19522.65226522652,16285.758380171263
2023-12-31,20142.814281428142,16818.30353216538
2024-01-31,21496.349634963495,17231.166435177034
2024-02-29,23039.603960396038,17927.362179071224
2024-03-31,23685.16851685168,18246.515666466028
2024-04-30,23018.30183018302,17768.697861193054
2024-05-31,23620.06200620062,18158.55163438978
2024-06-07,24092.909290929092,18389.693787479995
