,Benchmark,ticker
A-DALI Equity,Morningstar Malaysia GR MYR,F00001443C
A-Dana Balanced,Morningstar Global TME NR USD,F00001443D
A-Dana Equity,Morningstar Malaysia GR MYR,F00001443E
A-Dana Income,Markit iBoxx ABF MYS TR LCL,F00001443F
Aberdeen Std Islmc World Eq A,Morningstar Global TME GR USD,F00000PLRP
Advantage Asia Pacific ex Japan Div,Morningstar APAC xJpn GR USD,F00000ONU5
Advantage Glbl Eq Volatility Focus AUD H,Morningstar Global TME GR USD,F00000W8R1
Advantage Glbl Eq Volatility Focus MYR H,Morningstar Global TME GR USD,F00000W8R0
Advantage Glb High Income Bond RM-Hdg,Morningstar Gbl Core Bd GR USD,F00000ZV4P
Advantage Glb High Income Bond USD,Morningstar Gbl Core Bd GR USD,F00000ZFUZ
AHAM Absolute Return II-AUD,Morningstar Global TME NR USD,F000010CHH
AHAM Absolute Return II-GBP,Morningstar Global TME NR USD,F000010CHI
AHAM Absolute Return II-MYR,Morningstar Global TME NR USD,F000001A0J
AHAM Absolute Return II-SGD,Morningstar Global TME NR USD,F000010CHJ
AHAM Absolute Return II-USD,Morningstar Global TME NR USD,F000010CHK
AHAM Absolute Return III,Morningstar Global TME NR USD,F000013F34
AHAM Aiiman Asia(Ex Jpn)Gr MYR,Morningstar APAC xJpn GR USD,F00000YDBT
AHAM Aiiman Bal,Morningstar Global TME NR USD,F000000AIY
AHAM Aiiman Enhncd i-Profit A Inc,MYIBOR 3 Month MYR,F00001ELZJ
AHAM Aiiman Enhncd i-Profit B Acc,MYIBOR 3 Month MYR,F00001ELZK
